Fiscal Year,Function/Program,Department,Program/Metric,Program/Metric Label,Amount,Sub-Metric 1,Sub-Metric2
2009,General Government,General Services,Building Services Program,Building Services Program/Special Events/Filmings coordinated,70,Completion frequency-posted routes %,Filmings coordinated
2009,General Government,General Services,Building Services Program,Building Services Program/Recycling Operations/Tonnage Collected,1700,Completion frequency-posted routes %,Tonnage Collected
2009,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Average wait time per caller (in sec),40,Completion frequency-posted routes %,
2009,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Number of calls received,1402658,Completion frequency-posted routes %,
2009,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Number of wireless calls,393626,Completion frequency-posted routes %,
2009,General Government,Neighborhood Empowerment,Neighborhood councils certified (6),Neighborhood councils certified (6),1,Completion frequency-posted routes %,
2009,General Government,Office of Finance,Refund claims processed,Refund claims processed,27934,Completion frequency-posted routes %,
2009,General Government,Office of Finance,Collections from Citywide Collection Unit ($ in 000's),Collections from Citywide Collection Unit ($ in 000's),30184,Completion frequency-posted routes %,
2009,General Government,Office of Finance,Total tax accounts audited,Total tax accounts audited,7771,Completion frequency-posted routes %,
2009,General Government,Office of Finance,Annual Business Tax renewal e-filings,Annual Business Tax renewal e-filings,80000,Completion frequency-posted routes %,
2009,General Government,Office of Finance,Revenue enhancement unit investigations (5),Revenue enhancement unit investigations (5),83611,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Maintain a baseline 99.5% of refuse collected on schedule (%),100,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Increase truck fleet conversion to clean fuel (no. of trucks),0,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Convert refuse collection fleet to clean fuels (%),61,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Solid Resources,Solid Resources/Implement LAUSD Blue Bin Recycling Program (%),69,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Clean Water,"Clean Water/Clean 60,000 pipe reaches as mandated (%)",194,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/Maintain 3-yr rolling avrg of 60 miles of sewers (%),129,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/WCSD Sewer Cleaning - miles of sewers cleaned (10),5000,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Water Reclaimed (MGD),32,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/DCT Wastewater Treatment (MGD),65,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Water Reclaimed (MGD),6,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/LAG Wastewater Treatment (MGD),20,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Reclaimed (MGD),5,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Reclaimed (MGD),35,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/TITP Wastewater Treatment (MGD),16,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Maintenance and Operation of Wastewater Facilities,Maintenance and Operation of Wastewater Facilities/HTP Wastewater Treatment (MGD),350,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Watershed Protection,"Watershed Protection/Clean 90,000 catch basins annually (%)",113,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Maintenance and Operation of Flood Control Facilities,Maintenance and Operation of Flood Control Facilities/Catch Basin Cleaning,115000,Completion frequency-posted routes %,
2009,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Recycling Contamination,85000,Completion frequency-posted routes %,Recycling Contamination
2009,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Bulky Items,33146,Completion frequency-posted routes %,Bulky Items
2009,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Recyclables,170000,Completion frequency-posted routes %,Recyclables
2009,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Yard Trimmings,555049,Completion frequency-posted routes %,Yard Trimmings
2009,Health and Sanitation,Sanitation,Household Refuse Collection Program,Household Refuse Collection Program/Tons Collected:/Refuse,1034429,Completion frequency-posted routes %,Refuse
2009,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals euthanized,24742,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals impounded (7),65445,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals adopted,28154,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Animal Services,Animal Shelter Operations Program,Animal Shelter Operations Program/Animals which die while in City's care (%),2,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Animal Services,Animal Licensing and Permitting Operations,Animal Licensing and Permitting Operations/Dog licenses issued,121138,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Building and Safety,Building Permits Issued,Building Permits Issued,110992,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Building and Safety,Response to inspection requests within 24 hrs (%),Response to inspection requests within 24 hrs (%),99,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Non structure fires,12173,Completion frequency-posted routes %,Non structure fires
2009,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Response within 5 mins of notification (%),95,Completion frequency-posted routes %,Response within 5 mins of notification (%)
2009,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Fires (includes automatic alarms),138200,Completion frequency-posted routes %,Fires (includes automatic alarms)
2009,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Hazardous conditions,5700,Completion frequency-posted routes %,Hazardous conditions
2009,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Rescues and others,35500,Completion frequency-posted routes %,Rescues and others
2009,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Emergency responses/Helicopter flight hours for brush and structure fires,726,Completion frequency-posted routes %,Helicopter flight hours for brush and structure fires
2009,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Arson Investigation and Counter-Terrorism/Closure rate in criminal fires investigation (%),71,Completion frequency-posted routes %,Closure rate in criminal fires investigation (%)
2009,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic ambulances,262000,Completion frequency-posted routes %,Paramedic ambulances
2009,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT ambulances,120000,Completion frequency-posted routes %,EMT ambulances
2009,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Response to emergencies within 5 mins (%),90,Completion frequency-posted routes %,Response to emergencies within 5 mins (%)
2009,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/EMT fire resources,260000,Completion frequency-posted routes %,EMT fire resources
2009,Protection of Persons and Property,Fire,Emergency Ambulance Services,Emergency Ambulance Services/Emergency medical responses by/Paramedic fire resources,84000,Completion frequency-posted routes %,Paramedic fire resources
2009,Protection of Persons and Property,Fire,Fire Suppression Program,Fire Suppression Program/Actual Fires/Structure fires,4026,Completion frequency-posted routes %,Structure fires
2009,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Response to emergency calls (in minutes),7,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged rape kits reduced,2740,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Police,Specialized Crime Suppression & Investigation,Specialized Crime Suppression & Investigation/Number of backlogged fingerprint cases reduced,6778,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Police,Technical Support Program,Technical Support Program/Complaint board calls received (911),2520000,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic citations issued,553000,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Fatal and injury traffic accidents,26000,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Police,Traffic Control Program,Traffic Control Program/Traffic collisions investigated,58000,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Total arrests,168000,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Selected Part II crimes reported,84000,Completion frequency-posted routes %,
2009,Protection of Persons and Property,Police,Patrol Program,Patrol Program/Part I crimes reported,115000,Completion frequency-posted routes %,
2009,Public Works,Board of Commissioners,"Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)","Graffiti eradicated/square footage (per 1,000 sq. ft.) (8)",28300,Completion frequency-posted routes %,
2009,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Sidewalks repaired (miles),59,Completion frequency-posted routes %,
2009,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-public (million sq ft)",15,Completion frequency-posted routes %,
2009,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Debris removed (cubic yards)",183379,Completion frequency-posted routes %,
2009,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Response time to clear illegal dumping (days)",5,Completion frequency-posted routes %,
2009,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-posted routes %,97,Completion frequency-posted routes %,
2009,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-posted routes/Goal-posted routes %,97,Completion frequency-posted routes %,Goal-posted routes %
2009,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-nonposted routes (weeks),4,Completion frequency-posted routes %,
2009,Public Works,Street Services,Street Cleaning Program,Street Cleaning Program/Completion frequency-nonposted routes (weeks)/Goal-nonposted routes (weeks),4,Completion frequency-posted routes %,Goal-nonposted routes (weeks)
2009,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees planted - City forces & Non-profits (MTLA),8943,Completion frequency-posted routes %,
2009,Public Works,Street Services,"Weed Abatement, Brush and Debris Clearance","Weed Abatement, Brush and Debris Clearance/Land cleared/cleaned-private (million sq ft)",10,Completion frequency-posted routes %,
2009,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees trimmed - City forces (broadhead),41804,Completion frequency-posted routes %,
2009,Public Works,Street Services,Street Tree and Parkway Maintenance Program,Street Tree and Parkway Maintenance Program/Trees trimmed in City's urban forest,75504,Completion frequency-posted routes %,
2009,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Streets resurfaced (miles),200,Completion frequency-posted routes %,
2009,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Access ramps constructed,1044,Completion frequency-posted routes %,
2009,Public Works,Street Services,Street Resurfacing and Reconstruction Program,Street Resurfacing and Reconstruction Program/Bus pads constructed,76,Completion frequency-posted routes %,
2009,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Peak hour tows and other tows,55057,Completion frequency-posted routes %,
2009,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Citations written,2784351,Completion frequency-posted routes %,
2009,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Abandoned vehicles impounded,6972,Completion frequency-posted routes %,
2009,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Abandoned vehicles abated,116967,Completion frequency-posted routes %,
2009,Transportation,Transportation,Franchise and Taxicab Regulation,Franchise and Taxicab Regulation/Bandit drivers arrested,1144,Completion frequency-posted routes %,
2009,Transportation,Transportation,Franchise and Taxicab Regulation,Franchise and Taxicab Regulation/Bandit vehicles impounded,1061,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Increase in bicycle lane miles,7,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Increase in bicycle sharrow miles,,Completion frequency-posted routes %,
2009,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Number of hours of intersection control,72618,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transit Operations,Transit Operations/Fixed transit routes in service,56,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transit Capital Programming,Transit Capital Programming/Active traffic congestion relief projects,58,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transportation System Engineering Program,Transportation System Engineering Program/Speed humps/tables constructed,374,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Red curb miles reinstalled/installed,611,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Thermoplastic longline striping installed/reinstalled (previously lane miles),617,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Signs Maintained/Replaced,108032,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Temporary Signs installed/removed,365389,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transit Operations,Transit Operations/Fixed transit route passenger trips,31675393,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transit Operations,Transit Operations/Total transit vehicle passenger trips,31860898,Completion frequency-posted routes %,
2009,Transportation,Transportation,Parking Operations Support and Adjudication,Parking Operations Support and Adjudication/Citation reviews completed within 21 days (%),80,Completion frequency-posted routes %,
2009,Transportation,Transportation,Parking Operations Support and Adjudication,Parking Operations Support and Adjudication/Collection rate of citations issued in the year (%),68,Completion frequency-posted routes %,
2009,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Traffic control signals maintained (%),90,Completion frequency-posted routes %,
2009,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Number Traffic Signals Repaired,0,Completion frequency-posted routes %,
2009,Transportation,Transportation,Traffic Control Devices,Traffic Control Devices/Number New Signals (Traffic and Pedestrian) Installed,0,Completion frequency-posted routes %,
2009,Transportation,Transportation,Mass Transit Information Services,Mass Transit Information Services/Shuttle bus transit ridership per hour,47,Completion frequency-posted routes %,
2009,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Crossing guard assignments,486,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Number miles of lane markings installed,0,Completion frequency-posted routes %,
2009,Transportation,Transportation,Parking Management and Intersection Control,Parking Management and Intersection Control/Citations written per officer per eight-hour shift,30,Completion frequency-posted routes %,
2009,Transportation,Transportation,Transportation System Operations,Transportation System Operations/Signs Replaced (9),0,Completion frequency-posted routes %,
2008,Business-Type Activities ,Airports,Passengers (millions),Passengers (millions),69,Completion frequency-posted routes %,
2008,Business-Type Activities ,Airports,Air cargo (thousand tons),Air cargo (thousand tons),2519,Completion frequency-posted routes %,
2008,Business-Type Activities ,Airports,Aircraft movements (thousands),Aircraft movements (thousands),1249,Completion frequency-posted routes %,
2008,Business-Type Activities ,Harbor,Inbound tonnage (million tons),Inbound tonnage (million tons),105,Completion frequency-posted routes %,
2008,Business-Type Activities ,Harbor,Outbound tonnage (million tons),Outbound tonnage (million tons),65,Completion frequency-posted routes %,
2008,Business-Type Activities ,Harbor,Vessel arrivals,Vessel arrivals,2467,Completion frequency-posted routes %,
2008,Business-Type Activities ,Harbor,Containerized cargo volume (in million of TEUs),Containerized cargo volume (in million of TEUs),8,Completion frequency-posted routes %,
2008,Business-Type Activities ,Harbor,Cruise passengers,Cruise passengers,1191449,Completion frequency-posted routes %,
2008,Business-Type Activities ,Harbor,Miles of waterfront,Miles of waterfront,43,Completion frequency-posted routes %,
2008,Business-Type Activities ,Power,Customers-average number (thousands),Customers-average number (thousands),1446,Completion frequency-posted routes %,
2008,Business-Type Activities ,Power,Net system capability (megawatts),Net system capability (megawatts),7,Completion frequency-posted routes %,
2008,Business-Type Activities ,Power,Energy production (billion kwh),Energy production (billion kwh),29,Completion frequency-posted routes %,
2008,Business-Type Activities ,Power,Kilowatt hours sold (billions),Kilowatt hours sold (billions),26,Completion frequency-posted routes %,
2008,Business-Type Activities ,Water ,Customers-average number (thousands),Customers-average number (thousands),666,Completion frequency-posted routes %,
2008,Business-Type Activities ,Water ,Gallons sold (billions),Gallons sold (billions),199,Completion frequency-posted routes %,
2008,Business-Type Activities ,Water ,Net water supply (billions of gallons),Net water supply (billions of gallons),210,Completion frequency-posted routes %,
2008,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Congregate meals served,835229,Completion frequency-posted routes %,
2008,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Prop A - One-way transportation trips,142152,Completion frequency-posted routes %,
2008,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Meals served vs. Meals contracted (%),94,Completion frequency-posted routes %,
2008,Community Development,Aging,Senior Social Services Program,Senior Social Services Program/Homebound meals served,817630,Completion frequency-posted routes %,
2008,Community Development,Disability,Counseling sessions,Counseling sessions,100,Completion frequency-posted routes %,
2008,Community Development,Disability,Constituents served,Constituents served,1000,Completion frequency-posted routes %,
2008,Community Development,Disability,Crisis intervention,Crisis intervention,80,Completion frequency-posted routes %,
2008,Community Development,Disability,ADA Compliance,ADA Compliance/Days to respond for interpreter services,2,Completion frequency-posted routes %,
2008,Community Development,Disability,AIDS Coordination,AIDS Coordination/HIV Testing and counseling,2400,Completion frequency-posted routes %,
2008,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Units financed by GAP under the Homeownership/Program - Low Income,133,Completion frequency-posted routes %,Program - Low Income
2008,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Residential units preserved under the Housing/Rehabilitation Program,29,Completion frequency-posted routes %,Rehabilitation Program
2008,Community Development,Housing,Rent Program,Rent Program/Tenant complaints processed,8100,Completion frequency-posted routes %,
2008,Community Development,Housing,Rent Program,Rent Program/Rental units registered,518000,Completion frequency-posted routes %,
2008,Community Development,Housing,Rent Program,Rent Program/Rent adjustments processed,525,Completion frequency-posted routes %,
2008,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Urgent repair referrals,564,Completion frequency-posted routes %,
2008,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Multi-family unit inspected every 4 years,0,Completion frequency-posted routes %,
2008,Community Development,Housing,Code Enforcement Program,Code Enforcement Program/Periodic inspections (units),180000,Completion frequency-posted routes %,
2008,Community Development,Housing,Compliance Monitoring,Compliance Monitoring/Affordable units monitored,18000,Completion frequency-posted routes %,
2008,Community Development,Housing,Homeownership and Preservation,Homeownership and Preservation/Number of housing units made lead safe,135,Completion frequency-posted routes %,
2008,Community Development,Housing,Housing Preservation and Production Programs,Housing Preservation and Production Programs/Units financed by MRB under the Homeownership/Program,0,Completion frequency-posted routes %,Program
2008,Cultural and Recreational Services,Convention Center,Client Revenue Services,Client Revenue Services/Repeat events hosted (#),339,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Convention Center,Scheduled exhibit hall events,Scheduled exhibit hall events,180,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Cultural Affairs,Community Arts,Community Arts/Art exhibitions presented,70,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Cultural Affairs,City Arts,City Arts/Art class enrollment,0,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Cultural Affairs,Performing Arts,Performing Arts/Music/theatre programs presented,0,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Cultural Affairs,Community Arts,Community Arts/Special events/festivals,104,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Cultural Affairs,City Arts,City Arts/Theater attendance,0,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,El Pueblo,Children's art workshops held,Children's art workshops held,130,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,El Pueblo,History and Museums,History and Museums/Visitors to educational and cultural programs,396210,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,El Pueblo,History and Museums,History and Museums/Tours provided to the public,962,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,El Pueblo,Historic sites maintained,Historic sites maintained,0,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,El Pueblo,Cultural and historical tours given,Cultural and historical tours given,1450,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,El Pueblo,Special events/festivals held,Special events/festivals held,55,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,El Pueblo,Art exhibitions presented,Art exhibitions presented,9,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Items circulated,15900000,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of library materials checked out,17234888,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Attendance level for cultural programming,279560,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of volunteers for special programs,2373,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of library cardholders,1331240,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Number of people visiting library facilities,16100000,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Registered Borrowers,1445000,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Books cataloged,0,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Library,Public Library Services Program,Public Library Services Program/Books received:/Volumes,225389,Completion frequency-posted routes %,Volumes
2008,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Municipal Sports/Team sports participants,76000,Completion frequency-posted routes %,Team sports participants
2008,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Other Recreation/Occupancy at child care facilities (%),68,Completion frequency-posted routes %,Occupancy at child care facilities (%)
2008,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Youth Services and Intervention Programming/Youth (ages 5-15) in organized sports programs,76000,Completion frequency-posted routes %,Youth (ages 5-15) in organized sports programs
2008,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Senior Citizens Services/Number of senior club members,13317,Completion frequency-posted routes %,Number of senior club members
2008,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Senior Citizens Services/Sr. Citizens Clubs,175,Completion frequency-posted routes %,Sr. Citizens Clubs
2008,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Municipal Sports/Number of teams,5000,Completion frequency-posted routes %,Number of teams
2008,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Camps/Camper days,52000,Completion frequency-posted routes %,Camper days
2008,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Aquatics/Attendance for recreational swim,2849338,Completion frequency-posted routes %,Attendance for recreational swim
2008,Cultural and Recreational Services,Recreation and Parks,Recreational Opportunities,Recreational Opportunities/Aquatics/Pool Attendance,1500000,Completion frequency-posted routes %,Pool Attendance
2008,Cultural and Recreational Services,Recreation and Parks,Educational Exhibits,Educational Exhibits/Observatory/Attendance,641000,Completion frequency-posted routes %,Attendance
2008,Cultural and Recreational Services,Zoo,Admissions,Admissions/Number of group reservations processed,2585,Completion frequency-posted routes %,
2008,Cultural and Recreational Services,Zoo,Educational Exhibits,Educational Exhibits/Attendance,1602171,Completion frequency-posted routes %,
2008,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer cases concluded (3),,Completion frequency-posted routes %,
2008,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer protection-cases reviewed (3),265,Completion frequency-posted routes %,
2008,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Consumer protection-consumer complaints (3),550,Completion frequency-posted routes %,
2008,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Housing/rent control cases concluded,300,Completion frequency-posted routes %,
2008,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Environmental cases concluded,542,Completion frequency-posted routes %,
2008,General Government,City Attorney,Criminal Prosecution Program,Criminal Prosecution Program/Combined criminal jury and court trials,769,Completion frequency-posted routes %,
2008,General Government,City Ethics Commission,Whistle-blower complaints and investigations processed,Whistle-blower complaints and investigations processed,450,Completion frequency-posted routes %,
2008,General Government,City Ethics Commission,Investigations resolved within 2 years (%),Investigations resolved within 2 years (%),85,Completion frequency-posted routes %,
2008,General Government,General Services,Building Services Program,Building Services Program/Building Maintenance and Repair/Square feet of buildings,17775611,Completion frequency-posted routes %,Square feet of buildings
2008,General Government,General Services,Building Services Program,Building Services Program/Special Events/Filmings coordinated,103,Completion frequency-posted routes %,Filmings coordinated
2008,General Government,General Services,Building Services Program,Building Services Program/Recycling Operations/Tonnage Collected,1700,Completion frequency-posted routes %,Tonnage Collected
2008,General Government,General Services,Building Services Program,Building Services Program/Building Maintenance and Repair/Preventative maintenance orders completed (%),0,Completion frequency-posted routes %,Preventative maintenance orders completed (%)
2008,General Government,General Services,Building Services Program,Building Services Program/Special Events/Filmings and Special Events coordinated,0,Completion frequency-posted routes %,Filmings and Special Events coordinated
2008,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Number of wireless calls,335979,Completion frequency-posted routes %,
2008,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Number of calls received,1257629,Completion frequency-posted routes %,
2008,General Government,Information Technology Agency,3-1-1 Call Center Operations (4),3-1-1 Call Center Operations (4)/Average wait time per caller (in sec),53,Completion frequency-posted routes %,
2008,General Government,Neighborhood Empowerment,Neighborhood councils certified (6),Neighborhood councils certified (6),4,Completion frequency-posted routes %,
2008,General Government,Office of Finance,Annual Business Tax renewal e-filings,Annual Business Tax renewal e-filings,70000,Completion frequency-posted routes %,
2008,General Government,Office of Finance,Collections from Citywide Collection Unit ($ in 000's),Collections from Citywide Collection Unit ($ in 000's),25700,Completion frequency-posted routes %,
2008,General Government,Office of Finance,Refund claims processed,Refund claims processed,26125,Completion frequency-posted routes %,
2008,General Government,Office of Finance,Revenue enhancement unit investigations (5),Revenue enhancement unit investigations (5),71234,Completion frequency-posted routes %,
2008,General Government,Office of Finance,Total tax accounts audited,Total tax accounts audited,6677,Completion frequency-posted routes %,
